user_id,correct,wrong,passed,correct_ratio,hours
2,2.0,0.0,9,1.0,0.1
3,4.0,4.0,15,0.5,0.3
5,2.0,2.0,1,0.5,0.0
8,9.0,21.0,84,0.3,0.2
14,0.0,1.0,3,0.0,0.7
16,18.0,23.0,49,0.43902439024390244,23.9
17,0.0,2.0,5,0.0,0.8
22,15.0,9.0,41,0.625,34.1
25,1.0,4.0,20,0.2,22.3
26,7.0,16.0,25,0.30434782608695654,17.7
30,2.0,0.0,9,1.0,40.4
31,4.0,5.0,24,0.4444444444444444,21.2
32,3.0,0.0,13,1.0,0.1
34,9.0,4.0,24,0.6923076923076923,2.8
37,1.0,0.0,1,1.0,0.0
39,2.0,0.0,12,1.0,24.5
43,6.0,3.0,45,0.6666666666666666,1.2
44,2.0,0.0,11,1.0,0.1
46,8.0,2.0,24,0.8,2.1
49,2.0,0.0,9,1.0,0.2
50,2.0,0.0,11,1.0,0.1
54,2.0,0.0,9,1.0,0.1
57,8.0,8.0,24,0.5,48.0
60,2.0,0.0,24,1.0,36.4
63,8.0,3.0,23,0.7272727272727273,1.0
66,2.0,0.0,9,1.0,1.1
67,15.0,27.0,45,0.35714285714285715,16.8
68,2.0,2.0,6,0.5,0.1
70,2.0,0.0,6,1.0,0.0
73,2.0,0.0,11,1.0,7.7
75,2.0,0.0,10,1.0,41.1
76,2.0,1.0,65,0.6666666666666666,39.5
78,2.0,0.0,11,1.0,0.8
80,15.0,3.0,129,0.8333333333333334,13.2
87,2.0,1.0,1,0.6666666666666666,0.0
89,8.0,3.0,23,0.7272727272727273,29.6
91,11.0,9.0,28,0.55,30.5
94,2.0,0.0,12,1.0,8.0
95,5.0,4.0,19,0.5555555555555556,0.5
96,2.0,0.0,10,1.0,3.0
97,2.0,3.0,9,0.4,0.3
100,9.0,5.0,27,0.6428571428571429,1.5
101,2.0,0.0,6,1.0,0.1
104,2.0,0.0,9,1.0,4.2
108,2.0,0.0,11,1.0,1.2
111,9.0,10.0,25,0.47368421052631576,2.4
115,8.0,1.0,21,0.8888888888888888,1.1
118,2.0,1.0,1,0.6666666666666666,0.0
120,2.0,0.0,10,1.0,0.0
121,4.0,0.0,8,1.0,0.0
127,4.0,3.0,15,0.5714285714285714,0.7
129,2.0,0.0,9,1.0,47.1
130,2.0,0.0,9,1.0,0.3
133,6.0,24.0,23,0.2,1.4
138,9.0,7.0,25,0.5625,28.3
144,2.0,0.0,12,1.0,0.4
145,15.0,16.0,110,0.4838709677419355,5.4
148,6.0,2.0,4,0.75,0.0
149,13.0,2.0,1,0.8666666666666667,0.0
152,2.0,2.0,11,0.5,0.5
156,2.0,0.0,10,1.0,0.0
157,10.0,5.0,32,0.6666666666666666,35.2
161,2.0,0.0,1,1.0,0.0
166,2.0,0.0,10,1.0,0.6
168,11.0,3.0,28,0.7857142857142857,26.1
169,1.0,0.0,4,1.0,2.6
171,1.0,9.0,7,0.1,44.7
175,3.0,0.0,12,1.0,23.3
176,2.0,0.0,8,1.0,0.1
178,23.0,10.0,9,0.696969696969697,0.1
179,1.0,0.0,2,1.0,1.3
183,27.0,23.0,61,0.54,46.6
184,2.0,0.0,12,1.0,0.1
187,2.0,1.0,1,0.6666666666666666,0.0
192,3.0,0.0,8,1.0,0.0
193,16.0,14.0,40,0.5333333333333333,43.9
196,2.0,0.0,10,1.0,1.0
197,9.0,27.0,8,0.25,1.5
202,52.0,54.0,127,0.49056603773584906,46.4
214,1.0,0.0,2,1.0,0.0
215,15.0,6.0,39,0.7142857142857143,33.9
219,2.0,0.0,12,1.0,32.0
220,5.0,2.0,17,0.7142857142857143,34.7
223,2.0,0.0,10,1.0,0.1
225,3.0,0.0,13,1.0,44.5
226,26.0,23.0,52,0.5306122448979592,3.8
227,13.0,1.0,35,0.9285714285714286,47.3
229,15.0,9.0,40,0.625,43.0
230,2.0,0.0,11,1.0,0.3
231,28.0,13.0,65,0.6829268292682927,27.3
232,2.0,0.0,13,1.0,0.1
239,2.0,0.0,12,1.0,14.0
240,5.0,6.0,19,0.45454545454545453,0.4
243,2.0,0.0,2,1.0,0.0
246,2.0,0.0,14,1.0,2.4
250,11.0,32.0,30,0.2558139534883721,25.1
251,37.0,18.0,93,0.6727272727272727,29.3
255,2.0,0.0,2,1.0,0.0
258,1.0,0.0,4,1.0,0.1
259,1.0,0.0,6,1.0,0.1
263,17.0,4.0,43,0.8095238095238095,45.3
264,1.0,4.0,8,0.2,0.1
275,9.0,18.0,9,0.3333333333333333,7.0
277,2.0,0.0,8,1.0,1.3
279,4.0,0.0,19,1.0,46.2
282,2.0,0.0,10,1.0,0.4
284,15.0,1.0,40,0.9375,47.9
287,3.0,6.0,23,0.3333333333333333,23.7
290,2.0,0.0,9,1.0,33.9
294,2.0,0.0,9,1.0,0.1
295,7.0,3.0,21,0.7,34.7
296,2.0,0.0,11,1.0,0.5
297,3.0,1.0,9,0.75,1.2
299,15.0,15.0,40,0.5,46.9
301,2.0,0.0,8,1.0,17.1
302,2.0,0.0,10,1.0,14.7
307,1.0,0.0,4,1.0,0.0
311,0.0,1.0,10,0.0,9.7
313,2.0,0.0,6,1.0,25.1
316,7.0,2.0,19,0.7777777777777778,47.8
321,17.0,13.0,1,0.5666666666666667,28.3
322,4.0,9.0,15,0.3076923076923077,12.8
323,6.0,36.0,21,0.14285714285714285,18.1
330,1.0,0.0,1,1.0,0.0
332,9.0,1.0,25,0.9,47.7
334,7.0,11.0,20,0.3888888888888889,28.6
336,9.0,7.0,27,0.5625,13.6
337,2.0,0.0,6,1.0,0.0
340,1.0,0.0,4,1.0,0.0
344,15.0,29.0,42,0.3409090909090909,42.9
345,1.0,5.0,9,0.16666666666666666,4.3
350,6.0,0.0,20,1.0,5.0
353,6.0,6.0,21,0.5,47.0
356,9.0,11.0,4,0.45,45.7
357,2.0,2.0,11,0.5,0.1
361,10.0,19.0,24,0.3448275862068966,31.5
364,8.0,11.0,12,0.42105263157894735,48.0
368,2.0,0.0,9,1.0,0.1
369,15.0,51.0,4,0.22727272727272727,0.0
379,17.0,21.0,47,0.4473684210526316,22.4
383,10.0,7.0,30,0.5882352941176471,47.3
385,3.0,13.0,20,0.1875,0.6
387,9.0,7.0,30,0.5625,15.2
394,2.0,1.0,10,0.6666666666666666,0.0
395,8.0,8.0,25,0.5,44.1
397,2.0,0.0,10,1.0,0.1
399,3.0,0.0,13,1.0,10.4
404,0.0,1.0,35,0.0,26.5
407,14.0,14.0,3,0.5,0.0
410,2.0,2.0,48,0.5,26.1
412,2.0,0.0,1,1.0,0.0
413,5.0,0.0,14,1.0,0.2
420,10.0,7.0,32,0.5882352941176471,25.8
422,8.0,13.0,29,0.38095238095238093,36.9
427,7.0,1.0,22,0.875,0.4
428,2.0,3.0,63,0.4,12.4
432,2.0,0.0,10,1.0,0.1
433,1.0,1.0,4,0.5,0.3
434,4.0,11.0,16,0.26666666666666666,30.4
435,2.0,0.0,2,1.0,0.0
437,9.0,1.0,26,0.9,46.8
438,7.0,19.0,22,0.2692307692307692,31.8
439,8.0,24.0,24,0.25,46.1
440,4.0,0.0,21,1.0,31.1
442,5.0,16.0,18,0.23809523809523808,14.3
443,2.0,0.0,6,1.0,0.1
444,1.0,0.0,20,1.0,37.8
445,2.0,0.0,1,1.0,0.0
446,1.0,0.0,9,1.0,0.1
450,1.0,0.0,6,1.0,0.0
453,8.0,0.0,23,1.0,1.1
461,2.0,0.0,9,1.0,0.1
463,2.0,0.0,6,1.0,0.0
468,2.0,0.0,11,1.0,0.6
472,11.0,20.0,33,0.3548387096774194,31.2
477,1.0,0.0,11,1.0,0.3
481,4.0,0.0,16,1.0,1.2
482,4.0,1.0,13,0.8,3.1
488,4.0,0.0,12,1.0,47.6
489,3.0,0.0,13,1.0,0.4
490,15.0,5.0,40,0.75,5.9
493,1.0,1.0,11,0.5,44.4
495,2.0,2.0,10,0.5,0.1
496,26.0,34.0,96,0.43333333333333335,47.8
501,10.0,5.0,31,0.6666666666666666,15.9
502,2.0,0.0,11,1.0,8.8
505,8.0,13.0,25,0.38095238095238093,24.9
506,7.0,19.0,23,0.2692307692307692,31.1
508,8.0,3.0,29,0.7272727272727273,29.1
509,5.0,4.0,17,0.5555555555555556,45.6
510,9.0,4.0,1,0.6923076923076923,0.0
512,9.0,2.0,25,0.8181818181818182,44.3
517,2.0,0.0,9,1.0,0.0
519,2.0,3.0,9,0.4,0.3
520,9.0,2.0,28,0.8181818181818182,1.7
521,2.0,0.0,9,1.0,0.1
523,2.0,1.0,8,0.6666666666666666,0.6
524,1.0,0.0,8,1.0,1.2
525,7.0,2.0,21,0.7777777777777778,44.4
528,9.0,4.0,25,0.6923076923076923,47.9
533,1.0,0.0,1,1.0,0.2
539,1.0,0.0,2,1.0,0.5
541,9.0,6.0,30,0.6,34.9
542,13.0,8.0,37,0.6190476190476191,47.2
544,8.0,3.0,23,0.7272727272727273,1.0
548,2.0,0.0,1,1.0,44.8
550,2.0,0.0,11,1.0,0.2
551,6.0,1.0,20,0.8571428571428571,24.0
552,3.0,1.0,1,0.75,0.0
553,16.0,23.0,42,0.41025641025641024,24.6
555,6.0,4.0,18,0.6,1.9
560,13.0,13.0,36,0.5,20.3
564,14.0,9.0,34,0.6086956521739131,16.7
568,5.0,2.0,20,0.7142857142857143,34.1
569,15.0,11.0,37,0.5769230769230769,47.9
572,9.0,3.0,29,0.75,47.9
573,5.0,6.0,16,0.45454545454545453,5.1
576,4.0,4.0,14,0.5,1.2
577,4.0,0.0,14,1.0,37.3
580,1.0,0.0,4,1.0,38.6
581,2.0,0.0,1,1.0,0.0
587,16.0,9.0,44,0.64,25.7
589,26.0,59.0,64,0.3058823529411765,27.3
590,3.0,3.0,13,0.5,47.0
591,14.0,16.0,37,0.4666666666666667,27.0
594,2.0,0.0,4,1.0,47.0
595,2.0,0.0,8,1.0,44.2
596,8.0,6.0,23,0.5714285714285714,0.3
604,11.0,3.0,32,0.7857142857142857,2.6
605,24.0,79.0,63,0.23300970873786409,47.8
606,2.0,0.0,12,1.0,24.8
608,8.0,16.0,23,0.3333333333333333,47.3
609,10.0,27.0,2,0.2702702702702703,0.9
610,1.0,1.0,6,0.5,1.6
616,1.0,2.0,16,0.3333333333333333,21.0
618,2.0,0.0,9,1.0,0.3
620,10.0,2.0,132,0.8333333333333334,0.2
622,2.0,0.0,6,1.0,0.0
624,1.0,0.0,4,1.0,0.0
629,2.0,2.0,2,0.5,1.5
630,2.0,0.0,10,1.0,0.1
632,2.0,1.0,12,0.6666666666666666,30.4
